1
1000 100000
802 822 2
628 942 2
174 628 1
138 891 1
154 451 1
161 678 1
111 964 1
380 605 1
491 939 1
219 514 2
100 932 2
943 967 1
843 874 2
702 793 2
174 939 1
433 727 1
147 464 1
33 417 1
579 769 2
651 828 2
190 736 2
502 791 2
433 435 1
117 193 2
401 960 1
56 471 2
389 923 2
85 470 1
699 834 1
504 816 2
271 598 1
197 453 2
439 672 1
633 746 1
110 661 2
81 175 2
372 960 1
83 192 2
383 639 1
407 519 1
333 999 2
395 421 1
50 176 1
192 818 2
142 814 1
125 569 1
193 689 1
652 886 1
278 650 2
163 287 2
323 573 2
214 649 2
454 788 1
245 575 1
736 772 1
514 735 2
601 641 1
458 510 2
622 722 2
5 408 1
544 605 2
4 131 1
213 949 2
236 855 1
198 925 1
598 805 2
770 990 1
136 749 2
171 325 1
260 302 2
199 276 1
538 761 2
878 957 1
191 586 1
97 429 1
4 601 1
428 563 2
152 358 1
180 529 2
405 586 2
220 255 2
208 263 1
72 253 2
19 142 2
304 630 2
464 998 1
213 430 2
700 834 1
167 172 1
426 857 1
25 438 2
138 305 1
490 648 1
554 807 2
122 810 2
15 462 2
460 720 2
116 329 2
323 997 1
138 876 2
301 317 1
289 966 1
79 695 2
564 692 2
696 984 1
285 799 2
416 512 2
127 728 1
537 854 2
649 799 1
720 861 1
444 823 1
234 988 2
142 783 1
747 892 2
366 638 2
220 683 2
25 838 1
698 829 1
10 715 2
634 789 1
761 970 2
18 748 2
616 888 1
255 544 2
866 938 2
358 583 2
408 686 1
556 879 2
73 910 1
282 828 1
526 546 2
57 395 1
370 831 1
563 952 2
193 486 2
234 730 1
394 427 1
31 404 2
577 935 2
660 804 1
120 963 2
746 803 2
27 368 2
50 730 1
12 134 2
346 677 2
406 436 1
386 560 1
177 194 2
299 867 1
347 476 1
331 563 1
84 817 2
631 863 1
31 946 2
28 564 1
691 705 1
106 777 2
509 684 1
36 305 1
693 933 2
515 868 2
282 948 2
15 671 1
227 879 2
310 761 2
514 834 1
203 751 2
549 962 2
685 832 2
93 966 2
725 902 1
810 967 1
232 474 2
342 980 2
659 858 1
113 901 1
682 765 2
502 778 1
861 904 1
108 259 1
77 345 1
16 289 2
628 929 1
134 573 1
309 419 2
173 352 2
444 918 1
306 883 1
427 489 2
586 638 2
141 307 1
6 845 1
273 494 1
476 703 1
262 270 1
599 957 2
540 922 1
205 852 2
618 816 1
568 760 1
487 568 2
88 446 1
171 768 2
51 429 1
252 959 1
313 420 1
164 818 2
299 914 1
393 964 1
95 517 1
114 159 2
277 341 1
334 786 2
653 683 1
87 184 1
500 983 1
74 425 1
48 910 2
553 673 1
123 564 1
819 853 2
642 790 1
17 763 1
407 887 2
77 416 2
168 282 2
741 922 1
644 743 2
48 68 1
179 666 2
277 314 1
422 865 2
382 393 2
76 806 1
386 482 1
164 463 1
373 424 1
718 753 1
37 905 1
200 558 2
16 35 1
468 647 2
469 781 2
27 440 1
185 652 2
400 872 1
213 483 1
223 826 2
841 958 2
749 953 2
140 211 1
17 162 2
28 216 2
229 946 2
17 436 2
416 708 2
505 783 1
193 752 1
79 516 1
908 966 2
346 456 1
372 676 1
668 736 1
360 976 1
881 968 2
234 647 2
534 941 1
200 915 2
295 767 2
132 848 1
590 692 1
499 683 1
465 504 2
220 252 1
141 274 2
530 992 1
651 724 1
39 588 1
175 271 1
427 491 2
317 370 1
645 773 2
187 558 1
161 258 2
182 842 1
103 116 1
57 845 2
741 873 1
667 760 1
172 658 1
11 90 2
610 937 1
19 652 1
292 583 1
326 830 1
229 472 2
117 968 1
261 460 2
183 734 1
449 527 2
383 441 1
576 737 2
286 749 2
25 924 1
154 259 2
780 959 2
214 757 2
182 272 2
523 776 2
16 488 1
82 851 2
564 678 2
335 873 1
395 690 1
684 843 2
548 701 2
371 751 2
287 462 1
48 787 1
52 817 1
199 449 1
332 677 2
792 869 1
311 706 2
508 817 2
202 854 1
198 988 2
431 833 2
503 744 1
241 567 1
85 660 1
390 750 2
418 435 2
418 767 1
269 314 1
119 669 1
458 612 2
238 669 1
59 266 1
315 547 1
249 860 2
390 475 2
112 557 1
3 775 2
111 794 2
346 580 1
298 854 2
646 684 1
766 960 2
574 987 1
365 656 2
137 341 2
299 347 1
478 678 1
249 306 1
581 608 1
142 834 1
540 733 1
217 591 2
259 921 2
392 591 1
132 732 2
408 510 2
293 786 1
105 810 2
394 842 2
59 329 1
308 598 2
222 282 2
82 845 2
498 833 2
300 740 1
60 925 2
368 624 1
467 934 2
88 716 1
792 928 2
3 75 2
35 306 1
17 549 1
478 596 2
418 992 2
567 646 2
269 622 1
149 164 1
315 479 2
291 839 2
398 679 1
282 743 1
319 345 1
147 902 2
634 658 2
157 291 1
132 148 2
185 205 2
585 864 1
369 881 1
190 899 1
89 353 1
28 460 1
25 512 1
409 797 2
4 523 1
395 817 2
264 379 2
363 865 1
561 693 1
181 823 1
660 934 2
7 874 2
576 852 2
3 909 2
539 573 2
180 845 1
604 835 2
38 173 1
111 501 2
540 601 2
448 941 2
566 840 2
81 465 1
337 625 2
555 804 1
573 622 1
196 823 2
90 831 1
346 783 2
68 335 1
431 734 2
15 898 1
1 904 2
511 671 1
300 895 2
369 908 1
315 384 1
22 56 1
873 920 2
505 514 1
174 202 1
324 900 1
182 358 2
372 567 1
760 834 2
679 809 1
768 892 2
53 164 1
46 413 1
959 971 2
198 604 1
700 954 1
179 765 2
336 614 1
601 913 1
273 992 2
48 929 1
812 859 1
540 673 2
783 945 1
399 816 1
471 901 2
88 561 1
96 626 1
127 544 1
244 978 1
153 230 2
291 647 2
362 454 2
711 978 1
180 531 2
457 936 2
80 220 1
417 687 1
503 992 1
228 493 2
125 926 1
688 706 1
424 481 2
218 983 2
169 664 1
258 925 1
450 688 2
594 694 1
368 511 1
332 981 1
440 852 2
368 441 1
302 731 2
417 471 1
124 299 2
651 688 2
182 713 1
522 983 1
71 231 1
269 946 1
163 419 1
539 664 2
730 870 2
544 571 2
294 439 1
287 378 1
675 939 2
547 658 1
113 259 2
111 395 1
201 653 2
357 495 1
23 269 1
444 898 1
384 871 2
461 871 2
223 728 2
468 483 2
104 727 2
19 908 2
628 660 1
54 671 2
474 901 2
51 450 1
620 846 2
583 888 1
129 682 1
274 963 1
352 779 2
836 997 1
14 910 1
297 758 1
520 898 1
378 772 2
248 542 2
126 683 2
196 201 1
235 422 1
148 685 2
629 970 2
298 979 2
439 443 2
198 245 2
582 619 2
286 975 1
447 826 2
712 978 2
853 857 1
514 984 2
517 609 2
325 357 1
134 516 2
34 175 2
582 613 1
360 865 1
487 592 2
235 805 1
78 110 1
164 828 2
374 742 2
579 680 1
172 193 1
314 409 1
398 477 1
269 948 1
237 657 2
623 656 1
483 920 1
715 775 2
198 690 2
295 909 1
157 860 2
292 794 2
121 188 2
706 716 2
531 679 2
321 987 2
637 938 1
295 396 2
107 314 2
64 681 2
198 692 2
107 214 1
212 326 1
328 423 1
365 599 1
283 435 2
160 763 2
290 720 2
543 843 1
34 217 2
486 934 2
380 481 1
239 965 1
467 578 1
890 986 1
437 750 1
90 961 1
83 375 1
148 486 2
329 809 1
147 981 2
246 327 2
495 623 1
720 773 2
26 737 1
130 159 2
272 431 2
673 959 2
216 825 1
688 894 1
119 303 1
46 703 2
140 376 1
373 519 1
44 621 2
129 824 1
156 893 1
409 910 1
473 941 1
68 959 2
321 502 1
179 853 2
722 806 2
48 56 1
158 735 2
27 486 1
386 801 2
488 542 2
191 582 1
349 827 1
243 639 1
172 733 1
200 813 2
283 861 2
427 581 2
510 642 1
612 731 2
697 883 2
305 496 1
375 513 2
226 294 2
78 113 1
318 538 2
436 938 1
92 266 2
668 676 2
204 763 2
321 792 1
224 870 1
244 679 2
484 859 1
256 553 2
756 796 2
48 224 1
548 994 2
380 518 2
9 869 2
397 592 2
455 779 2
247 940 1
637 806 2
648 712 2
411 873 2
95 104 2
28 422 1
527 885 2
198 640 2
540 668 2
446 961 1
496 919 2
6 309 2
143 571 1
324 777 2
39 238 2
231 853 2
90 598 2
454 827 1
108 690 1
138 244 2
327 499 2
877 940 2
609 927 1
392 939 2
189 779 1
64 245 2
172 957 2
471 648 2
525 890 2
809 860 1
181 989 1
149 439 1
28 887 1
164 203 2
916 998 2
5 107 1
414 903 2
360 380 2
591 732 1
86 826 2
360 906 1
561 885 2
50 631 2
161 870 1
174 790 2
134 859 2
47 609 1
392 879 1
92 290 1
319 891 1
145 984 1
255 755 2
399 594 1
229 973 2
397 983 2
416 465 1
28 598 1
5 62 2
173 959 2
504 981 2
21 399 1
234 731 1
211 535 1
590 765 1
316 823 1
297 843 1
121 456 2
35 186 1
625 643 2
36 759 2
179 609 1
76 244 2
6 253 1
30 600 1
440 467 2
305 781 2
553 820 2
68 247 2
273 559 2
203 868 1
318 933 1
829 957 2
306 675 2
358 367 2
856 973 1
250 364 1
145 366 1
868 999 2
692 922 1
221 746 2
384 510 1
18 640 2
712 940 1
116 628 2
101 360 1
259 288 2
436 529 2
829 888 2
438 926 2
220 991 2
109 679 1
548 823 1
600 622 1
401 463 2
398 825 1
790 888 1
508 652 2
182 993 2
81 533 1
270 624 1
770 840 1
188 260 2
594 928 1
208 516 1
791 877 1
195 931 1
367 882 2
302 452 2
42 713 1
507 545 1
626 738 2
185 212 1
494 834 2
328 875 1
265 365 1
356 628 1
261 356 2
183 259 1
27 363 2
60 823 2
332 810 2
394 424 2
19 918 1
150 448 1
392 786 1
218 766 1
451 719 1
148 729 1
203 478 2
635 934 2
288 618 1
890 962 2
498 600 2
235 675 1
313 480 2
346 378 2
800 924 1
370 647 1
585 772 1
210 313 2
18 508 2
102 272 2
405 608 1
374 528 1
338 955 1
277 970 2
528 584 1
79 525 1
671 937 1
215 435 1
108 346 1
279 778 1
538 936 1
278 523 2
308 920 1
30 860 2
543 943 2
509 833 2
107 453 2
68 145 2
462 923 1
579 851 1
61 782 1
626 823 2
246 448 2
88 658 2
311 744 1
267 570 2
173 890 1
142 507 2
95 295 1
236 382 1
279 906 1
472 633 2
164 782 2
323 898 2
741 808 1
578 958 1
572 887 2
374 818 2
354 726 2
594 644 1
268 736 1
317 685 2
476 847 1
186 799 2
941 953 2
300 559 2
18 124 2
328 582 2
752 878 2
39 244 2
811 993 1
301 745 1
583 934 1
57 762 2
388 498 1
202 843 2
35 246 2
267 667 1
275 372 1
406 980 1
172 668 2
646 651 1
524 673 2
80 409 1
255 532 1
44 891 1
765 996 1
760 985 1
243 673 1
81 740 1
332 768 1
358 735 1
250 290 2
610 869 2
331 342 1
103 648 2
592 671 2
118 376 2
353 648 1
396 669 1
545 629 2
519 784 1
528 751 1
817 912 1
390 618 2
673 899 2
179 575 2
335 422 1
172 176 2
502 839 2
50 660 2
360 679 2
134 702 1
145 177 1
69 576 2
62 843 2
218 282 1
469 594 2
713 964 1
330 535 1
252 395 2
198 899 1
221 271 1
497 634 1
225 608 2
653 796 1
56 561 1
325 679 2
102 182 1
269 712 2
427 587 1
609 709 1
43 496 2
131 451 1
645 705 2
648 834 1
39 156 2
19 229 1
257 686 2
76 617 2
251 534 2
251 684 1
687 725 2
709 893 2
4 89 2
41 840 1
270 801 2
281 323 1
68 146 1
146 373 1
354 635 1
94 941 1
210 587 2
374 450 1
568 982 2
458 776 2
504 648 2
145 570 2
599 905 1
562 647 1
282 921 1
558 951 1
479 998 2
243 569 1
422 932 1
25 416 1
711 973 1
410 987 2
80 345 1
75 561 2
270 613 1
59 938 1
326 371 1
630 887 2
429 541 2
157 533 2
130 669 1
121 875 2
26 331 1
849 969 2
83 672 1
746 821 2
459 819 2
295 446 1
291 828 2
77 260 2
860 969 1
452 643 1
504 613 1
827 882 2
248 546 2
333 374 1
166 697 1
103 592 2
225 299 2
414 559 2
401 915 2
607 945 1
180 498 1
80 619 2
119 831 1
341 353 2
292 973 2
418 487 1
383 959 2
294 418 1
867 875 1
106 221 2
9 401 2
972 987 2
611 891 2
537 597 1
248 301 2
162 280 2
348 695 2
561 930 2
792 984 1
171 476 1
198 482 1
449 683 1
154 805 1
656 994 2
768 794 1
485 519 2
580 676 2
325 518 2
361 760 1
296 322 1
477 758 1
421 818 1
133 524 2
881 991 2
219 955 1
539 773 1
253 574 2
538 881 2
206 866 2
475 811 2
334 517 1
710 844 1
190 370 2
94 786 1
342 680 1
115 769 1
694 740 2
412 496 1
559 984 1
82 941 2
34 248 1
455 710 1
133 223 2
792 927 1
826 949 2
153 844 2
263 630 2
383 491 1
66 293 2
252 278 1
762 805 1
228 361 2
321 705 1
467 536 2
740 823 2
813 932 2
130 729 2
151 725 1
6 589 2
106 861 2
517 580 2
373 963 2
345 892 2
434 779 1
736 994 2
846 942 2
301 539 2
98 388 1
173 762 2
708 902 1
453 898 1
790 940 1
59 848 1
97 488 2
450 565 2
296 936 1
27 364 2
263 721 1
666 794 1
188 440 2
760 893 1
148 211 2
73 641 1
19 51 1
19 825 2
232 285 2
403 615 2
120 265 2
344 868 2
261 872 1
188 703 1
595 944 1
315 609 2
933 950 2
445 647 1
38 200 1
93 269 2
446 683 2
725 801 1
614 866 1
22 89 2
11 772 2
249 282 1
438 486 1
79 532 2
593 834 1
211 675 2
37 546 1
434 673 1
631 981 2
6 813 2
181 551 1
233 784 2
60 858 2
9 766 2
699 946 1
856 899 2
220 636 1
289 576 2
200 292 1
508 780 2
212 907 2
473 522 2
133 585 1
43 823 1
25 726 1
471 872 1
281 783 1
541 599 2
584 764 2
249 680 2
433 923 2
357 446 1
36 759 1
11 130 2
140 280 1
99 346 2
18 190 2
835 892 1
151 964 2
514 938 1
71 531 1
722 786 2
372 591 1
568 681 1
228 795 1
47 67 2
131 410 1
290 834 2
372 672 2
331 482 2
718 858 2
148 791 1
448 853 2
95 789 2
14 240 1
227 279 1
41 576 2
508 599 2
145 444 1
125 366 2
62 889 1
244 551 2
9 13 1
254 474 1
596 700 2
442 836 2
734 847 2
19 717 1
321 725 1
336 640 1
248 868 2
245 449 2
104 241 1
228 305 2
460 765 2
689 785 1
11 738 1
404 558 1
209 641 2
397 643 2
308 643 1
548 897 1
537 803 2
134 454 2
432 867 1
245 796 2
213 619 1
374 549 2
340 571 2
239 698 2
99 942 1
116 407 1
63 999 1
178 526 2
264 860 1
915 981 2
508 622 1
717 983 2
342 666 1
760 999 2
225 600 2
58 134 1
134 226 2
24 575 1
420 597 2
832 845 2
197 963 2
275 498 1
77 643 2
309 837 1
2 972 1
121 862 1
789 794 1
432 466 2
452 927 1
64 826 2
51 571 1
111 319 2
794 931 2
18 402 2
97 914 1
290 618 1
231 713 1
681 861 2
331 879 2
178 514 1
169 929 2
571 736 1
655 831 1
68 560 1
875 957 2
95 521 1
732 971 2
108 206 1
106 149 1
449 862 1
152 360 2
918 919 1
389 988 2
368 627 2
174 825 1
855 869 2
255 979 2
93 95 2
125 897 1
188 942 2
488 844 1
612 791 2
490 709 1
618 914 2
33 543 2
231 725 2
271 884 1
366 875 1
381 419 2
72 80 2
88 471 2
7 764 1
426 938 1
56 769 1
749 783 2
16 337 2
274 953 2
45 390 1
65 805 2
110 953 2
317 912 1
458 928 1
548 858 1
687 763 1
270 592 2
220 341 1
471 526 2
182 184 2
575 975 1
317 511 2
195 377 1
735 990 1
488 917 1
320 687 2
103 758 2
272 825 1
802 812 1
376 630 1
44 572 2
225 898 2
369 511 2
607 658 1
629 847 2
634 653 1
53 965 1
34 583 2
382 838 2
99 782 2
371 584 2
234 241 2
531 597 1
428 457 1
44 608 1
283 985 1
899 958 2
132 288 2
145 295 2
99 924 2
89 828 1
295 839 1
528 776 1
740 951 1
123 513 1
96 262 1
178 435 1
178 293 1
250 846 2
31 166 2
170 935 1
302 304 2
390 814 1
399 951 1
135 827 2
117 689 1
244 444 1
2 338 1
406 498 1
884 965 1
177 734 2
40 554 2
230 376 1
256 649 2
541 693 2
128 644 1
269 309 1
163 739 1
25 608 1
242 445 2
503 809 1
252 854 2
56 803 2
409 644 2
851 882 1
189 608 2
16 933 1
648 879 1
476 738 2
464 561 2
327 752 2
288 529 1
651 995 1
850 874 2
31 653 2
406 587 2
263 926 1
461 841 2
284 371 1
545 575 2
505 667 1
417 792 2
156 402 2
352 486 1
215 998 2
811 885 2
658 754 2
442 602 2
479 771 1
715 873 1
537 712 2
259 719 1
337 865 1
131 817 2
110 813 1
591 934 2
455 617 1
392 806 1
484 666 1
499 864 1
651 832 1
237 310 2
9 543 1
224 790 1
291 437 1
156 740 2
267 987 2
168 480 1
93 679 1
836 1000 2
144 925 2
305 892 2
150 205 2
203 648 2
564 889 2
157 636 1
532 560 2
587 878 1
643 876 2
417 479 2
759 923 2
312 609 2
75 931 2
72 772 2
678 767 1
278 819 1
349 710 1
684 775 2
408 575 1
111 468 1
121 568 1
104 280 1
684 717 1
310 442 2
327 835 1
335 656 2
200 279 1
103 851 2
708 845 2
165 266 1
126 514 2
490 939 1
661 969 1
139 480 2
215 578 2
362 539 1
107 722 1
235 509 2
11 1000 2
355 612 2
493 877 1
527 792 2
277 773 2
406 428 1
33 249 1
833 881 2
653 790 2
287 763 1
132 274 2
21 805 1
634 826 2
466 974 2
620 784 1
620 680 1
157 340 2
218 635 2
413 922 2
190 778 2
806 849 2
403 913 1
625 822 1
161 702 1
434 557 1
119 965 2
298 539 2
138 772 2
473 532 1
101 955 2
380 415 1
44 411 2
180 961 1
61 124 1
238 733 1
473 651 2
51 480 2
17 121 1
568 659 2
17 498 1
16 636 1
326 825 1
163 442 2
195 907 2
622 699 2
254 849 2
156 516 1
375 635 1
540 953 2
23 500 1
38 628 2
69 787 2
79 118 2
444 704 1
239 367 1
833 993 1
114 709 1
174 786 1
307 647 2
532 739 1
557 904 2
408 638 2
872 960 2
139 288 1
673 955 2
193 693 2
258 549 1
31 565 1
232 580 2
706 839 2
915 982 1
582 648 2
539 685 1
473 656 1
32 885 1
427 443 1
94 573 2
421 747 1
458 711 2
468 846 1
91 930 1
150 346 1
640 995 2
128 957 1
432 898 2
468 872 2
258 332 1
337 582 2
478 936 2
246 560 1
272 667 1
281 381 2
28 557 2
113 437 1
2 923 1
820 897 2
340 985 1
11 439 2
201 891 1
69 193 1
85 697 2
616 903 2
599 782 1
64 157 2
400 727 2
271 426 1
434 487 1
880 963 1
861 1000 2
870 927 2
478 805 2
304 972 1
53 932 2
59 150 1
482 728 1
29 886 1
704 710 1
177 794 2
111 393 1
48 316 2
201 554 2
355 743 1
579 602 2
399 620 2
103 246 1
66 223 2
701 789 1
367 474 1
40 356 1
668 810 1
800 826 2
614 918 2
46 393 2
118 546 1
165 819 1
554 955 1
143 692 1
63 351 1
378 545 1
234 673 1
115 710 1
152 483 1
179 565 2
153 652 2
657 785 1
354 895 1
363 519 2
122 346 1
508 755 2
306 380 1
124 302 1
775 840 1
118 250 1
240 658 1
663 811 2
564 757 1
71 869 2
503 707 1
158 783 1
518 783 2
492 771 1
510 587 1
10 553 1
635 964 2
383 832 1
673 687 1
633 833 1
437 583 2
548 880 2
354 588 2
184 656 1
608 971 1
233 868 1
612 825 2
132 240 1
548 725 2
642 893 1
611 691 2
238 900 1
273 757 1
354 702 2
403 565 2
289 832 1
494 704 1
199 240 1
56 663 2
322 500 1
106 884 2
226 430 1
129 771 1
53 253 1
909 981 2
541 696 2
64 251 1
495 572 2
74 291 1
553 703 2
451 868 1
527 893 2
549 638 2
739 916 1
599 786 1
411 928 2
712 915 1
98 297 2
211 905 2
710 816 1
382 391 1
246 494 2
577 871 2
109 474 1
588 832 1
523 996 2
653 944 1
675 784 2
62 333 2
114 902 1
363 472 1
16 624 2
28 514 2
196 468 1
295 509 1
184 845 1
407 937 2
602 810 2
210 371 2
339 676 2
76 408 1
696 887 2
90 847 2
197 261 1
359 407 2
496 696 1
469 997 1
124 366 2
270 915 1
291 385 2
739 884 2
898 944 1
826 881 2
350 415 1
399 454 2
834 992 1
270 965 2
231 561 2
245 549 1
8 411 2
255 517 1
780 905 2
146 250 1
318 830 1
32 77 2
572 787 1
207 524 2
418 579 1
720 990 2
102 757 1
720 945 1
29 337 2
85 741 2
807 988 1
554 904 2
329 507 2
88 226 2
242 684 1
38 379 1
282 570 1
757 874 1
183 302 2
216 798 1
114 654 1
101 206 1
325 377 1
566 773 2
104 981 1
29 976 2
408 847 1
583 657 2
359 962 1
265 614 1
320 485 2
180 977 2
284 559 2
293 611 1
856 863 1
300 659 2
39 55 2
447 995 2
59 755 2
147 457 1
175 396 2
835 858 2
208 538 1
387 903 1
335 536 1
751 764 1
188 983 2
436 897 2
194 274 2
430 975 2
426 652 2
205 749 2
193 270 2
758 880 1
99 156 1
713 996 2
406 771 2
5 797 2
67 468 1
32 989 2
292 854 1
147 158 1
236 400 1
613 997 1
735 974 2
581 591 1
618 727 1
443 600 2
309 431 1
440 833 2
399 649 1
23 464 1
134 607 1
201 319 1
190 557 2
491 814 2
372 997 2
599 929 2
688 928 1
324 616 2
160 248 1
116 646 2
81 724 2
336 865 1
209 292 1
177 443 1
66 157 1
414 656 2
826 850 2
438 885 2
201 897 1
435 810 2
173 565 2
447 708 1
536 735 1
28 59 2
39 285 1
91 559 2
496 884 1
178 552 2
188 780 1
133 648 2
370 377 2
217 566 2
49 899 2
133 896 1
887 896 1
677 980 2
814 838 2
27 418 2
333 919 1
590 977 1
526 708 2
115 575 2
394 514 1
504 719 2
673 676 2
458 727 2
692 834 2
14 215 1
74 278 1
5 549 1
738 929 2
237 322 1
622 942 2
424 526 2
519 941 1
89 799 1
683 974 1
16 532 2
203 871 2
28 924 1
57 830 1
633 844 2
131 870 1
187 892 1
465 825 1
654 757 1
153 215 2
184 587 2
199 513 2
126 488 2
165 492 1
426 646 1
38 418 1
373 672 1
935 970 2
122 975 1
80 190 2
145 631 1
555 603 2
205 382 1
416 834 2
731 843 1
885 936 1
410 869 2
194 543 1
273 391 2
335 469 1
239 475 2
538 818 1
203 879 2
223 470 1
515 654 1
160 398 1
65 545 1
359 515 1
957 960 2
686 979 1
214 420 1
363 801 2
86 858 1
91 639 2
44 286 1
332 785 2
78 341 1
433 599 2
76 845 1
120 749 1
698 764 2
317 853 1
249 341 1
431 875 1
555 692 2
391 437 2
150 415 1
81 509 2
352 816 1
514 986 1
135 292 2
245 961 1
586 720 2
296 582 2
823 876 2
338 475 2
742 753 1
114 993 1
98 204 1
312 716 2
863 950 1
204 825 1
86 935 2
496 657 2
45 457 1
327 520 1
808 869 2
204 874 1
899 972 2
17 477 1
126 294 2
41 276 1
153 651 2
20 516 1
126 887 1
61 686 2
689 776 1
190 548 2
844 891 1
690 813 1
84 239 1
410 916 2
76 341 1
278 879 2
451 805 2
753 953 2
377 436 2
176 540 2
706 805 1
284 988 2
548 911 2
323 880 1
688 854 2
106 933 2
417 504 1
617 870 1
901 999 1
240 419 1
128 443 2
327 362 2
722 870 2
70 735 1
127 496 2
437 958 1
363 397 2
48 760 2
243 962 1
402 650 1
158 192 2
369 421 1
30 375 2
313 321 1
115 420 1
121 257 2
113 751 1
173 934 2
77 577 2
244 472 2
656 886 1
8 47 2
732 854 2
830 896 1
71 449 1
54 69 1
652 671 1
206 627 2
514 655 1
152 598 1
311 355 2
132 645 1
559 760 2
323 665 1
227 888 2
1 666 2
813 835 2
522 535 1
676 984 2
297 444 2
229 516 2
561 833 1
262 518 1
415 521 1
241 723 1
25 760 1
473 652 1
453 987 2
78 843 2
148 658 2
298 466 1
735 945 2
123 950 1
305 327 1
295 346 1
340 475 2
361 710 2
715 760 1
26 585 1
922 972 1
434 900 2
83 931 1
44 963 1
19 993 2
6 136 2
122 841 1
16 382 2
525 804 1
581 983 1
526 987 1
116 412 2
1 74 2
517 920 1
185 373 1
127 807 2
405 820 2
621 970 1
58 724 2
2 377 2
262 680 2
664 729 2
281 874 1
661 691 1
108 559 1
726 904 2
293 932 2
288 525 2
605 693 1
287 452 2
362 411 1
655 761 2
447 762 1
884 972 2
278 412 2
541 556 1
698 908 2
224 554 1
587 946 1
655 706 1
40 709 1
743 980 1
535 891 1
119 523 2
772 965 2
171 339 1
303 427 1
43 539 2
332 376 2
391 432 2
382 628 1
532 785 1
823 881 2
15 331 1
116 457 2
352 851 2
20 547 1
165 289 1
53 808 1
229 278 1
75 675 2
398 976 1
308 799 1
206 412 1
652 796 1
604 951 2
357 541 1
495 888 2
622 643 2
254 840 2
105 840 2
82 327 1
461 591 1
445 898 2
724 955 1
518 898 2
199 573 1
281 403 1
551 786 2
278 594 1
715 826 2
153 460 2
492 925 1
530 681 2
597 969 1
218 791 2
122 972 2
730 987 2
390 569 2
954 989 1
4 568 1
492 798 2
130 158 1
834 976 2
477 718 1
177 462 1
96 543 1
125 738 2
512 821 1
473 996 1
168 746 1
951 991 1
139 538 1
499 903 1
211 393 1
174 302 2
15 203 1
177 918 1
370 830 2
335 876 2
46 376 2
286 815 1
559 900 1
358 384 2
460 881 1
537 829 2
189 362 1
642 999 1
477 889 1
110 658 2
203 680 1
398 865 1
334 470 2
472 780 2
468 756 2
65 704 1
149 586 1
97 856 1
360 445 2
577 819 1
532 608 1
406 705 2
64 675 1
273 376 2
793 868 2
97 189 1
85 269 1
347 587 2
254 969 2
445 761 2
368 752 1
566 603 2
379 876 1
220 591 2
49 927 2
261 459 1
523 782 1
315 438 2
416 630 1
535 684 1
355 662 1
315 937 2
94 604 2
393 896 1
448 892 1
239 780 1
136 985 2
133 476 1
192 252 1
44 772 1
137 198 2
102 501 2
552 782 1
29 492 2
487 651 1
904 986 1
229 666 1
692 895 1
854 932 2
569 983 2
423 872 2
48 832 1
167 574 2
556 733 1
159 945 2
438 991 1
157 535 1
141 746 2
84 107 1
82 561 1
892 894 2
369 940 2
40 82 2
391 688 1
80 829 1
354 928 1
487 951 2
20 688 1
283 470 2
7 56 2
271 532 1
29 744 1
242 761 1
7 456 1
635 738 1
397 634 2
295 483 2
247 614 2
806 848 2
595 660 1
15 735 2
164 454 1
142 769 1
500 590 2
238 375 2
685 814 2
596 608 2
787 914 2
850 927 2
90 134 2
166 599 2
168 911 1
286 631 1
154 193 1
139 804 1
3 792 2
560 792 2
182 229 2
40 172 2
558 928 1
972 985 2
254 622 1
398 545 2
132 639 2
782 971 2
531 819 1
168 968 2
514 771 2
379 698 1
598 891 2
52 255 1
308 368 2
420 519 1
855 879 1
301 579 2
172 374 2
469 590 1
114 478 2
316 585 1
329 431 2
254 671 1
72 293 2
43 465 2
275 424 1
710 899 1
528 616 1
250 814 1
316 982 1
315 409 2
302 791 1
73 290 1
159 725 1
793 997 1
360 698 2
407 977 2
506 578 2
54 812 1
559 689 2
380 473 1
393 694 1
453 550 1
118 438 1
508 523 2
6 150 1
593 962 1
270 963 2
611 858 2
66 242 1
314 639 2
626 942 1
722 868 2
266 954 2
775 959 1
35 332 1
50 529 1
227 766 2
868 946 1
724 978 1
81 544 2
22 468 1
331 464 2
297 978 2
116 643 2
790 795 2
51 653 1
732 842 2
796 897 1
566 790 2
170 234 1
841 873 2
68 143 2
359 702 1
354 914 1
433 852 1
339 647 1
495 520 2
395 919 2
112 906 2
201 732 1
283 959 1
325 831 2
178 816 2
306 645 1
398 573 2
709 945 1
493 956 2
167 977 2
73 582 1
126 831 1
8 835 2
249 825 1
490 831 2
575 918 1
856 909 2
13 722 2
460 977 2
188 383 1
221 528 1
19 912 2
394 971 1
97 155 1
468 884 1
584 821 1
235 939 2
388 787 2
281 891 1
474 608 1
25 514 1
224 896 1
25 713 1
259 658 1
108 554 2
470 802 1
287 506 1
458 795 1
189 466 2
271 687 1
804 877 2
210 406 2
589 688 1
531 942 1
328 623 1
418 701 2
15 514 2
741 814 1
43 103 2
269 850 1
261 350 2
204 652 1
403 621 1
272 593 1
539 932 1
74 107 1
76 152 1
456 780 2
430 903 2
54 756 2
627 955 1
608 703 2
120 940 1
447 870 2
707 865 1
840 954 1
609 959 2
10 989 1
276 931 2
